101	[116676008-BS, 116680003-CF, 246075003-OR, 263502005-QV, 363698007-BS]
101	[116676008-BS, 116680003-CF, 246454002-QV, 363698007-BS, 363705008-CF]
100	[116680003-CF, 246075003-SU, 363698007-BS]
99	[116680003-PR, 260870009-QV]
98	[116680003-PR, 260507000-QV, 260686004-QV, 363700003-BS, 405814001-BS]
98	[116680003-PR, 260507000-QV, 260686004-QV, 363703001-QV, 405813007-BS]
97	[116680003-CF, 370135005-QV]
97	[116680003-PR, 246093002-OE]
96	[116680003-CF, 246075003-OR, 370135005-QV]
95	[116676008-BS, 116680003-CF, 363698007-BS, 47429007-CF]
95	[116680003-PR, 260686004-QV, 363703001-QV, 405813007-BS, 424226004-PO]
92	[116680003-PR, 260686004-QV, 363700003-BS, 405813007-BS, 424226004-PO, 425391005-PO]
89	[116680003-PR, 246513007-QV, 260686004-QV, 363700003-BS, 405813007-BS]
85	[116680003-PR, 260686004-QV, 424361007-SU]
84	[116680003-PR, 116686009-SN, 246093002-SU, 260686004-QV, 370130000-QV, 370132008-QV]
84	[116680003-PR, 363699004-PO]
83	[116680003-PR, 363703001-QV]
83	[116680003-SN, 370133003-SU]
80	[116680003-PR, 246513007-QV, 260686004-QV, 363704007-BS]
80	[116680003-PR, 260686004-QV, 363700003-BS, 405814001-BS, 424226004-PO]
80	[116680003-PR, 260686004-QV, 363700003-BS, 405814001-BS, 425391005-PO]
79	[116676008-BS, 116680003-CF, 246075003-PO, 363698007-BS]
79	[116680003-PR, 260686004-QV, 363699004-PO, 363703001-QV, 405813007-BS, 405814001-BS]
79	[116680003-PR, 260686004-QV, 363701004-SU, 405814001-BS, 410675002-QV]
77	[116680003-PR, 260686004-QV, 363701004-SU, 405814001-BS, 424226004-PO]
75	[116680003-PR, 260686004-QV, 363700003-BS, 363701004-SU, 363709002-BS, 405813007-BS, 405814001-BS]
69	[116680003-PR, 260686004-QV, 363700003-BS, 405813007-BS, 424876005-QV]
68	[116680003-PR, 260686004-QV, 424226004-PO]
67	[116680003-PR, 260507000-QV, 260686004-QV, 363699004-PO, 405814001-BS]
65	[116680003-PR, 260686004-QV, 363700003-BS]
64	[116680003-CF, 47429007-PR]
